// Graphe planaire connexe, densité réduite;// degré minimum >= 2, 150 sommets
S1;M;0;9,73,50;9,100,37;3,46,41;10,40,95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,47,35;0;0;0;0;0;0;0;0;0
S2;M;9,73,50;0;0;4,3,29;0;0;4,69,107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,6,73;0;3,62,33;0;0;0;7,83,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5,70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,88,93;0;0;0;0;0;4,3,67;0;0;0;2,64,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S3;M;9,100,37;0;0;3,65,89;0;0;0;0;2,75,25;9,17,104;10,41,72;0;0;0;0;0;0;0;0;10,52,67;0;0;0;0;0;0;0;10,91,88;5,23,106;0;0;0;0;0;0;0;0;0;0;0;0;8,3,45;0;0;0;0;0;0;0;4,38,21;0;0;0;0;0;0;0;4,81,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,28,81;0;0;0;0;0;0;0;4,91,13;0;6,94,64;0;0;9,11,71;0;0;0;0;0;0;0;0;0;0;0;0;10,81,98;0;0;0;0;0;0;0;0;0;2,96,40;0;0;8,34,83;0;0;0;0;0;0;0;0;0;0;0;0;5,64,88;10,51,36;0;6,84,65;0;0;0;0;0;0;2,29,60
S4;N;3,46,41;4,3,29;3,65,89;0;7,42,119;3,93,57;2,46,4;10,52,28;0;0;0;1,95,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,32,71;0;0;0;0;0;0;0;0;0;0;1,35,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,90,120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,60,68;0;0;0;0;0;0;0;0;0;0
S5;M;10,40,95;0;0;7,42,119;0;0;0;0;0;0;4,75,70;0;0;0;0;4,72,73;0;0;0;0;0;4,72,36;0;0;7,51,46;0;9,4,109;0;0;0;0;0;0;0;0;0;3,81,97;0;6,30,23;0;4,34,8;0;0;0;0;0;0;6,89,34;0;0;6,37,104;0;0;0;0;0;0;10,53,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,43,113;0;0;0;0;0;0;7,89,104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,32,17;0;0;0;0;0;0;0;2,38,73;0;0;0;0;0;0;3,98,89;0;0;0;0;0;0;0;0;0;3,59,88;0;0;0;0;8,92,63;0;0;0;0;0;9,30,114;0;0;0;0;8,73,60;0;0;0;0;0;0;0;0;0
S6;M;0;0;0;3,93,57;0;0;0;0;0;0;0;0;5,62,33;0;0;0;0;0;0;6,80,3;0;3,98,16;0;0;0;0;1,29,41;0;0;10,17,27;0;0;0;0;0;0;0;0;0;0;9,11,39;0;0;0;0;0;0;4,72,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S7;M;0;4,69,107;0;2,46,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,32,77;0;10,73,86;0;0;6,14,22;5,96,5;0;0;9,19,18;0;0;0;0;2,79,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,89,83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,90,69;9,20,50;0;0;0;0;0;0;0;0;0;0;6,86,102;0;0;0;0;0;9,60,87;0;0;0;0;0;0;0;4,34,7;0;4,70,79;0;1,55,37;0;10,70,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S8;M;0;0;0;10,52,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,23,15;0;0;0;0;0;0;0;0;0;0;10,1,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,89,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,82,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,3,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S9;M;0;0;2,75,25;0;0;0;0;0;0;3,44,41;0;0;6,77,29;0;0;0;10,30,103;7,5,70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,46,55;0;0;0;0;8,18,102;0;0;0;0;0;0;0;0;0;0;0;0;7,43,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,62,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S10;M;0;0;9,17,104;0;0;0;0;0;3,44,41;0;0;0;0;2,30,39;10,20,114;0;6,32,80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,30,56;0;0;0;2,47,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,39,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,91,27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
