S1;O;0;4,20,224;6,10,109;0;0;0;3,81,339;0;0;0;9,17,69;0;0;6,49,204;0;0;0;0;0;0;0;0;5,98,364;0;0;0;0;0;0;0;0;0;7,37,327;0;0;0;0;0;0;0
S2;O;4,20,224;0;6,24,395;1,55,105;3,83,95;0;0;0;6,92,446;0;0;8,69,470;0;0;0;4,44,204;0;0;2,84,11;0;0;0;0;0;0;0;0;6,6,421;0;0;0;0;1,7,15;0;0;0;0;0;0;0
S3;M;6,10,109;6,24,395;0;0;0;0;0;0;0;0;0;0;7,73,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,84,153;0;0;0;0;0;0;0;0;0;0;0;0
S4;N;0;1,55,105;0;0;0;0;0;2,6,492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,90,186;0;0;0;0;0;0;0;0;0;0;6,30,373;0;0
S5;N;0;3,83,95;0;0;0;5,68,457;0;0;6,66,418;0;0;0;0;0;0;0;0;0;0;0;0;0;6,1,277;0;0;0;0;0;0;0;0;0;0;0;5,10,414;0;0;0;0;0
S6;N;0;0;0;0;5,68,457;0;0;0;0;0;0;0;0;0;7,96,233;0;0;0;0;0;0;0;0;0;0;0;10,46,146;0;3,88,258;0;0;0;0;1,28,311;0;0;0;0;0;0
S7;O;3,81,339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,38,143;0;0;0;0;0;0;0;0;2,37,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S8;N;0;0;0;2,6,492;0;0;0;0;0;6,74,416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,29,443;0;0;0;0;0;0;0;0
S9;M;0;6,92,446;0;0;6,66,418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S10;M;0;0;0;0;0;0;0;6,74,416;0;0;0;0;0;0;0;5,85,421;10,26,264;0;0;0;0;0;0;0;0;0;0;0;0;3,76,105;0;0;0;0;0;0;0;0;0;0
S11;M;9,17,69;0;0;0;0;0;0;0;0;0;0;0;8,29,3;0;0;0;0;0;0;1,57,115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S12;M;0;8,69,470;0;0;0;0;0;0;0;0;0;0;2,44,64;0;2,42,63;0;6,15,485;0;0;0;0;8,11,234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,8,352;0;0;0
S13;M;0;0;7,73,66;0;0;0;0;0;0;0;8,29,3;2,44,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,18,289;0;0
S14;M;6,49,204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,6,164;7,80,274;0;0;0;0;0;0;6,42,473;0;0;0;0;0;5,25,42;0;0;0;0;0;0;0;0;0;0
S15;O;0;0;0;0;0;7,96,233;0;0;0;0;0;2,42,63;0;0;0;10,11,371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,83,456;4,30,120;0;0;0;0;0;0;0
S16;N;0;4,44,204;0;0;0;0;0;0;0;5,85,421;0;0;0;5,6,164;10,11,371;0;0;4,75,375;0;0;6,1,39;0;0;0;0;6,38,110;0;0;0;0;0;0;9,60,160;0;0;8,93,482;0;0;3,91,102;1,82,55
S17;M;0;0;0;0;0;0;2,38,143;0;0;10,26,264;0;6,15,485;0;7,80,274;0;0;0;0;6,70,443;7,90,285;2,67,275;0;2,8,79;3,58,117;0;0;1,6,121;0;0;0;0;0;0;0;0;0;0;0;0;0
S18;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,75,375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,50,266;0;0;0;0;0
S19;M;0;2,84,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,70,443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,5,348;0;0;0;0;0;0
S20;M;0;0;0;0;0;0;0;0;0;0;1,57,115;0;0;0;0;0;7,90,285;0;0;0;0;0;0;0;0;0;0;0;9,47,181;0;0;0;0;0;0;0;8,67,90;0;0;0
